ID,longitude,latitude,Z,salinity,date,time,time_value,year,datetime
BL01,105.7217111,9.280444444,,16.80,4/28/2019,9,9:00:00,2019,4/28/2019 9:00
BL01,105.7217111,9.280444444,,19.30,4/28/2019,11,11:00:00,2019,4/28/2019 11:00
BL01,105.7217111,9.280444444,,21.30,4/28/2019,13,13:00:00,2019,4/28/2019 13:00
BL01,105.7217111,9.280444444,,21.60,4/28/2019,15,15:00:00,2019,4/28/2019 15:00
BL01,105.7217111,9.280444444,,20.10,4/28/2019,17,17:00:00,2019,4/28/2019 17:00
BL01,105.7217111,9.280444444,,18.90,4/28/2019,19,19:00:00,2019,4/28/2019 19:00
BL01,105.7217111,9.280444444,,19.20,4/28/2019,21,21:00:00,2019,4/28/2019 21:00
BL01,105.7217111,9.280444444,,19.60,4/28/2019,23,23:00:00,2019,4/28/2019 23:00
BL01,105.7217111,9.280444444,,12.60,3/1/2019,1,1:00:00,2019,3/1/2019 1:00
BL01,105.7217111,9.280444444,,13.10,3/1/2019,3,3:00:00,2019,3/1/2019 3:00
BL01,105.7217111,9.280444444,,13.70,3/1/2019,5,5:00:00,2019,3/1/2019 5:00
BL01,105.7217111,9.280444444,,14.40,3/1/2019,7,7:00:00,2019,3/1/2019 7:00
BL01,105.7217111,9.280444444,,15.05,3/1/2019,9,9:00:00,2019,3/1/2019 9:00
BL01,105.7217111,9.280444444,,12.60,3/1/2019,11,11:00:00,2019,3/1/2019 11:00
BL01,105.7217111,9.280444444,,11.78,3/1/2019,13,13:00:00,2019,3/1/2019 13:00
BL01,105.7217111,9.280444444,,16.20,3/1/2019,15,15:00:00,2019,3/1/2019 15:00
BL01,105.7217111,9.280444444,,14.70,3/1/2019,17,17:00:00,2019,3/1/2019 17:00
BL01,105.7217111,9.280444444,,12.10,3/1/2019,19,19:00:00,2019,3/1/2019 19:00
BL01,105.7217111,9.280444444,,12.10,3/1/2019,21,21:00:00,2019,3/1/2019 21:00
BL01,105.7217111,9.280444444,,12.10,3/1/2019,23,23:00:00,2019,3/1/2019 23:00
BL01,105.7217111,9.280444444,,15.10,3/2/2019,1,1:00:00,2019,3/2/2019 1:00
BL01,105.7217111,9.280444444,,14.18,3/2/2019,3,3:00:00,2019,3/2/2019 3:00
BL01,105.7217111,9.280444444,,12.60,3/2/2019,5,5:00:00,2019,3/2/2019 5:00
BL01,105.7217111,9.280444444,,14.10,3/2/2019,7,7:00:00,2019,3/2/2019 7:00
BL01,105.7217111,9.280444444,,14.30,3/2/2019,9,9:00:00,2019,3/2/2019 9:00
BL01,105.7217111,9.280444444,,14.70,3/2/2019,11,11:00:00,2019,3/2/2019 11:00
BL01,105.7217111,9.280444444,,16.00,3/2/2019,13,13:00:00,2019,3/2/2019 13:00
BL01,105.7217111,9.280444444,,15.50,3/2/2019,15,15:00:00,2019,3/2/2019 15:00
BL01,105.7217111,9.280444444,,13.08,3/2/2019,17,17:00:00,2019,3/2/2019 17:00
BL01,105.7217111,9.280444444,,11.50,3/2/2019,19,19:00:00,2019,3/2/2019 19:00
BL01,105.7217111,9.280444444,,12.10,3/2/2019,21,21:00:00,2019,3/2/2019 21:00
BL01,105.7217111,9.280444444,,13.80,3/2/2019,23,23:00:00,2019,3/2/2019 23:00
BL01,105.7217111,9.280444444,,14.80,3/4/2019,1,1:00:00,2019,3/4/2019 1:00
BL01,105.7217111,9.280444444,,14.40,3/4/2019,3,3:00:00,2019,3/4/2019 3:00
BL01,105.7217111,9.280444444,,13.90,3/4/2019,5,5:00:00,2019,3/4/2019 5:00
BL01,105.7217111,9.280444444,,13.80,3/4/2019,7,7:00:00,2019,3/4/2019 7:00
BL01,105.7217111,9.280444444,,15.10,3/4/2019,9,9:00:00,2019,3/4/2019 9:00
BL01,105.7217111,9.280444444,,15.60,3/4/2019,11,11:00:00,2019,3/4/2019 11:00
BL01,105.7217111,9.280444444,,14.60,3/4/2019,13,13:00:00,2019,3/4/2019 13:00
BL01,105.7217111,9.280444444,,13.10,3/4/2019,15,15:00:00,2019,3/4/2019 15:00
BL01,105.7217111,9.280444444,,16.70,3/4/2019,17,17:00:00,2019,3/4/2019 17:00
BL01,105.7217111,9.280444444,,17.00,3/4/2019,19,19:00:00,2019,3/4/2019 19:00
BL01,105.7217111,9.280444444,,13.50,3/4/2019,21,21:00:00,2019,3/4/2019 21:00
BL01,105.7217111,9.280444444,,14.23,3/4/2019,23,23:00:00,2019,3/4/2019 23:00
BL01,105.7217111,9.280444444,,16.60,3/5/2019,1,1:00:00,2019,3/5/2019 1:00
BL01,105.7217111,9.280444444,,16.00,3/5/2019,3,3:00:00,2019,3/5/2019 3:00
BL01,105.7217111,9.280444444,,15.70,3/5/2019,5,5:00:00,2019,3/5/2019 5:00
BL01,105.7217111,9.280444444,,14.20,3/5/2019,7,7:00:00,2019,3/5/2019 7:00
BL01,105.7217111,9.280444444,,15.00,3/5/2019,9,9:00:00,2019,3/5/2019 9:00
BL01,105.7217111,9.280444444,,15.28,3/5/2019,11,11:00:00,2019,3/5/2019 11:00
BL01,105.7217111,9.280444444,,15.40,3/5/2019,13,13:00:00,2019,3/5/2019 13:00
BL01,105.7217111,9.280444444,,13.58,3/5/2019,15,15:00:00,2019,3/5/2019 15:00
BL01,105.7217111,9.280444444,,18.10,3/5/2019,17,17:00:00,2019,3/5/2019 17:00
BL01,105.7217111,9.280444444,,15.63,3/5/2019,19,19:00:00,2019,3/5/2019 19:00
BL01,105.7217111,9.280444444,,14.70,3/5/2019,21,21:00:00,2019,3/5/2019 21:00
BL01,105.7217111,9.280444444,,14.50,3/5/2019,23,23:00:00,2019,3/5/2019 23:00
BL01,105.7217111,9.280444444,,16.10,3/6/2019,1,1:00:00,2019,3/6/2019 1:00
BL01,105.7217111,9.280444444,,16.90,3/6/2019,3,3:00:00,2019,3/6/2019 3:00
BL01,105.7217111,9.280444444,,17.70,3/6/2019,5,5:00:00,2019,3/6/2019 5:00
BL01,105.7217111,9.280444444,,16.00,3/6/2019,7,7:00:00,2019,3/6/2019 7:00
BL01,105.7217111,9.280444444,,15.10,3/6/2019,9,9:00:00,2019,3/6/2019 9:00
BL01,105.7217111,9.280444444,,15.30,3/6/2019,11,11:00:00,2019,3/6/2019 11:00
BL01,105.7217111,9.280444444,,15.58,3/6/2019,13,13:00:00,2019,3/6/2019 13:00
BL01,105.7217111,9.280444444,,14.23,3/6/2019,15,15:00:00,2019,3/6/2019 15:00
BL01,105.7217111,9.280444444,,19.80,3/6/2019,17,17:00:00,2019,3/6/2019 17:00
