ID,longitude,latitude,Z,date,time,datetime,salinity,time_value,year
BL01,"105.7217111","9.280444444",,4/23/2019,"13",,"27.2",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/23/2019,"15",,"26.3",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/23/2019,"17",,"27.6",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/23/2019,"19",,"28",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/23/2019,"21",,"27.3",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/23/2019,"23",,"26.4",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/24/2019,"1",,"26",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/24/2019,"3",,"25.7",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/24/2019,"5",,"25",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/24/2019,"7",,"26.4",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/24/2019,"9",,"27.6",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/24/2019,"11",,"27.3",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/24/2019,"13",,"25.3",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/24/2019,"15",,"25.4",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/24/2019,"17",,"26.9",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/24/2019,"19",,"25.8",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/24/2019,"21",,"26.9",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/24/2019,"23",,"25.1",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/27/2019,"1",,"24.1",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/27/2019,"3",,"23.4",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/27/2019,"5",,"21.8",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/27/2019,"7",,"21.7",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/27/2019,"9",,"20.6",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/27/2019,"11",,"21.4",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/27/2019,"13",,"21.1",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/27/2019,"15",,"21.5",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/27/2019,"17",,"20.5",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/27/2019,"19",,"21.4",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/27/2019,"21",,"19.8",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/27/2019,"23",,"19",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/28/2019,"1",,"19.6",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/28/2019,"3",,"19.9",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/28/2019,"5",,"20.5",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/28/2019,"7",,"20.2",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/28/2019,"9",,"16.8",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/28/2019,"11",,"19.3",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/28/2019,"13",,"21.3",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/28/2019,"15",,"21.6",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/28/2019,"17",,"20.1",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/28/2019,"19",,"18.9",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/28/2019,"21",,"19.2",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/28/2019,"23",,"19.6",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/1/2019,"1",,"12.6",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/1/2019,"3",,"13.1",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/1/2019,"5",,"13.7",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/1/2019,"7",,"14.4",7:00:00,"2019"
