track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
"0","0","200",-208.6,2019/12/24 22:41:35+00,,,,,,,,,,,,,,,,,,,,,
"0","0","201",-208.6,2019/12/24 22:41:38+00,,,,,,,,,,,,,,,,,,,,,
"0","0","202",-210.2,2019/12/24 22:41:40+00,,,,,,,,,,,,,,,,,,,,,
"0","0","203",-210.6,2019/12/24 22:41:41+00,,,,,,,,,,,,,,,,,,,,,
"0","0","204",-210.2,2019/12/24 22:41:46+00,,,,,,,,,,,,,,,,,,,,,
"0","0","205",-210,2019/12/24 22:41:50+00,,,,,,,,,,,,,,,,,,,,,
"0","0","206",-209.2,2019/12/24 22:41:53+00,,,,,,,,,,,,,,,,,,,,,
"0","0","207",-208,2019/12/24 22:41:54+00,,,,,,,,,,,,,,,,,,,,,
"0","0","208",-207.6,2019/12/24 22:41:55+00,,,,,,,,,,,,,,,,,,,,,
"0","0","209",-206.4,2019/12/24 22:41:59+00,,,,,,,,,,,,,,,,,,,,,
"0","0","210",-207,2019/12/24 22:42:02+00,,,,,,,,,,,,,,,,,,,,,
"0","0","211",-206.8,2019/12/24 22:42:04+00,,,,,,,,,,,,,,,,,,,,,
"0","0","212",-205.6,2019/12/24 22:42:09+00,,,,,,,,,,,,,,,,,,,,,
"0","0","213",-205.4,2019/12/24 22:42:10+00,,,,,,,,,,,,,,,,,,,,,
"0","0","214",-205.2,2019/12/24 22:42:11+00,,,,,,,,,,,,,,,,,,,,,
"0","0","215",-205.2,2019/12/24 22:42:13+00,,,,,,,,,,,,,,,,,,,,,
"0","0","216",-206.4,2019/12/24 22:42:16+00,,,,,,,,,,,,,,,,,,,,,
"0","0","217",-207.4,2019/12/24 22:42:19+00,,,,,,,,,,,,,,,,,,,,,
"0","0","218",-207.4,2019/12/24 22:42:20+00,,,,,,,,,,,,,,,,,,,,,
"0","0","219",-206.8,2019/12/24 22:42:24+00,,,,,,,,,,,,,,,,,,,,,
"0","0","220",-206.4,2019/12/24 22:42:25+00,,,,,,,,,,,,,,,,,,,,,
"0","0","221",-206.2,2019/12/24 22:42:26+00,,,,,,,,,,,,,,,,,,,,,
"0","0","222",-206,2019/12/24 22:42:28+00,,,,,,,,,,,,,,,,,,,,,
"0","0","223",-206,2019/12/24 22:42:30+00,,,,,,,,,,,,,,,,,,,,,
"0","0","224",-206.6,2019/12/24 22:42:34+00,,,,,,,,,,,,,,,,,,,,,
"0","0","225",-206.8,2019/12/24 22:42:41+00,,,,,,,,,,,,,,,,,,,,,
"0","0","226",-207.2,2019/12/24 22:42:42+00,,,,,,,,,,,,,,,,,,,,,
"0","0","227",-207.6,2019/12/24 22:42:43+00,,,,,,,,,,,,,,,,,,,,,
"0","0","228",-207.8,2019/12/24 22:42:44+00,,,,,,,,,,,,,,,,,,,,,
"0","0","229",-208,2019/12/24 22:42:45+00,,,,,,,,,,,,,,,,,,,,,
"0","0","230",-208,2019/12/24 22:42:47+00,,,,,,,,,,,,,,,,,,,,,
"0","0","231",-208.2,2019/12/24 22:42:48+00,,,,,,,,,,,,,,,,,,,,,
"0","0","232",-208,2019/12/24 22:42:49+00,,,,,,,,,,,,,,,,,,,,,
"0","0","233",-207.8,2019/12/24 22:42:51+00,,,,,,,,,,,,,,,,,,,,,
"0","0","234",-207.8,2019/12/24 22:42:53+00,,,,,,,,,,,,,,,,,,,,,
"0","0","235",-207.2,2019/12/24 22:42:57+00,,,,,,,,,,,,,,,,,,,,,
"0","0","236",-207,2019/12/24 22:42:58+00,,,,,,,,,,,,,,,,,,,,,
"0","0","237",-206.8,2019/12/24 22:42:59+00,,,,,,,,,,,,,,,,,,,,,
"0","0","238",-206.4,2019/12/24 22:43:00+00,,,,,,,,,,,,,,,,,,,,,
"0","0","239",-206.8,2019/12/24 22:43:05+00,,,,,,,,,,,,,,,,,,,,,
"0","0","240",-207.4,2019/12/24 22:43:07+00,,,,,,,,,,,,,,,,,,,,,
"0","0","241",-207.4,2019/12/24 22:43:08+00,,,,,,,,,,,,,,,,,,,,,
"0","0","242",-209.4,2019/12/24 22:43:09+00,,,,,,,,,,,,,,,,,,,,,
"0","0","243",-209,2019/12/24 22:43:12+00,,,,,,,,,,,,,,,,,,,,,
"0","0","244",-209,2019/12/24 22:43:16+00,,,,,,,,,,,,,,,,,,,,,
"0","0","245",-209,2019/12/24 22:43:18+00,,,,,,,,,,,,,,,,,,,,,
"0","0","246",-209,2019/12/24 22:43:19+00,,,,,,,,,,,,,,,,,,,,,
"0","0","247",-208.6,2019/12/24 22:43:22+00,,,,,,,,,,,,,,,,,,,,,
"0","0","248",-208.2,2019/12/24 22:43:26+00,,,,,,,,,,,,,,,,,,,,,
"0","0","249",-208,2019/12/24 22:43:29+00,,,,,,,,,,,,,,,,,,,,,
"0","0","250",-208.8,2019/12/24 22:43:37+00,,,,,,,,,,,,,,,,,,,,,
"0","0","251",-208.6,2019/12/24 22:43:39+00,,,,,,,,,,,,,,,,,,,,,
"0","0","252",-207.8,2019/12/24 22:43:46+00,,,,,,,,,,,,,,,,,,,,,
"0","0","253",-207.4,2019/12/24 22:43:50+00,,,,,,,,,,,,,,,,,,,,,
"0","0","254",-207.4,2019/12/24 22:43:52+00,,,,,,,,,,,,,,,,,,,,,
"0","0","255",-208,2019/12/24 22:43:54+00,,,,,,,,,,,,,,,,,,,,,
"0","0","256",-209.4,2019/12/24 22:43:57+00,,,,,,,,,,,,,,,,,,,,,
"0","0","257",-209.8,2019/12/24 22:44:00+00,,,,,,,,,,,,,,,,,,,,,
"0","0","258",-209.6,2019/12/24 22:44:02+00,,,,,,,,,,,,,,,,,,,,,
"0","0","259",-209.4,2019/12/24 22:44:04+00,,,,,,,,,,,,,,,,,,,,,
"0","0","260",-209.8,2019/12/24 22:44:10+00,,,,,,,,,,,,,,,,,,,,,
"0","0","261",-209.8,2019/12/24 22:44:16+00,,,,,,,,,,,,,,,,,,,,,
"0","0","262",-209.6,2019/12/24 22:44:17+00,,,,,,,,,,,,,,,,,,,,,
"0","0","263",-209,2019/12/24 22:44:20+00,,,,,,,,,,,,,,,,,,,,,
"0","0","264",-210.2,2019/12/24 22:44:24+00,,,,,,,,,,,,,,,,,,,,,
"0","0","265",-208,2019/12/24 22:44:25+00,,,,,,,,,,,,,,,,,,,,,
"0","0","266",-208,2019/12/24 22:44:30+00,,,,,,,,,,,,,,,,,,,,,
"0","0","267",-208.2,2019/12/24 22:44:33+00,,,,,,,,,,,,,,,,,,,,,
"0","0","268",-208.6,2019/12/24 22:44:34+00,,,,,,,,,,,,,,,,,,,,,
"0","0","269",-209,2019/12/24 22:44:35+00,,,,,,,,,,,,,,,,,,,,,
"0","0","270",-209.6,2019/12/24 22:44:40+00,,,,,,,,,,,,,,,,,,,,,
"0","0","271",-209.4,2019/12/24 22:44:41+00,,,,,,,,,,,,,,,,,,,,,
"0","0","272",-208.6,2019/12/24 22:44:44+00,,,,,,,,,,,,,,,,,,,,,
"0","0","273",-208.6,2019/12/24 22:44:45+00,,,,,,,,,,,,,,,,,,,,,
"0","0","274",-208.2,2019/12/24 22:44:48+00,,,,,,,,,,,,,,,,,,,,,
"0","0","275",-208.2,2019/12/24 22:44:49+00,,,,,,,,,,,,,,,,,,,,,
"0","0","276",-208.2,2019/12/24 22:44:55+00,,,,,,,,,,,,,,,,,,,,,
"0","0","277",-207.8,2019/12/24 22:45:00+00,,,,,,,,,,,,,,,,,,,,,
"0","0","278",-208,2019/12/24 22:45:03+00,,,,,,,,,,,,,,,,,,,,,
"0","0","279",-208.4,2019/12/24 22:45:04+00,,,,,,,,,,,,,,,,,,,,,
"0","0","280",-208.8,2019/12/24 22:45:06+00,,,,,,,,,,,,,,,,,,,,,
"0","0","281",-209,2019/12/24 22:45:13+00,,,,,,,,,,,,,,,,,,,,,
"0","0","282",-208.8,2019/12/24 22:45:17+00,,,,,,,,,,,,,,,,,,,,,
"0","0","283",-208.8,2019/12/24 22:45:18+00,,,,,,,,,,,,,,,,,,,,,
